STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
637080,99999, 19800205,   72.5, 4,   62.6, 4, 9999.9, 0, 9999.9, 0,  20.2, 4,   6.0, 4,   9.9, 999.9,   77.0*,  68.0*, 0.00A,999.9, 000010,
637080,99999, 19800206,   75.6, 5,   62.2, 5, 9999.9, 0, 9999.9, 0,  18.3, 5,   4.7, 4,   9.9, 999.9,   89.6 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800207,   72.3, 5,   55.4, 5, 9999.9, 0, 9999.9, 0,  23.6, 5,   3.0, 5,   6.0, 999.9,   89.6 ,  59.0 , 0.00G,999.9, 000000,
637080,99999, 19800208,   73.1, 7,   60.8, 7, 9999.9, 0, 9999.9, 0,  21.3, 7,   5.7, 7,  13.0, 999.9,   86.0 ,  64.4*, 0.00G,999.9, 000000,
637080,99999, 19800209,   77.9, 8,   58.1, 8, 9999.9, 0, 9999.9, 0,  24.9, 8,   5.5, 8,  13.0, 999.9,   91.4 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800210,   79.1, 6,   57.2, 6, 9999.9, 0, 9999.9, 0,  21.7, 6,   6.9, 6,  12.0, 999.9,   93.2 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800211,   70.7, 6,   63.5, 6, 9999.9, 0, 9999.9, 0,  20.7, 6,   3.0, 6,   8.0, 999.9,   86.0 ,  64.4 , 0.00G,999.9, 000000,
637080,99999, 19800213,   75.2, 8,   58.3, 8, 9999.9, 0, 9999.9, 0,  23.3, 8,   6.0, 8,  14.0, 999.9,   89.6 ,  59.0 , 0.00G,999.9, 010010,
637080,99999, 19800214,   70.9, 5,   62.2, 5, 9999.9, 0, 9999.9, 0,  21.1, 5,   2.8, 5,   8.0, 999.9,   87.8 ,  64.4 , 0.08G,999.9, 000010,
637080,99999, 19800215,   72.7, 5,   63.0, 5, 9999.9, 0, 9999.9, 0,  21.1, 5,   5.6, 5,  17.1, 999.9,   86.0 ,  62.6 , 1.06G,999.9, 000000,
637080,99999, 19800216,   73.4, 6,   60.2, 6, 9999.9, 0, 9999.9, 0,  22.8, 6,   4.5, 6,   8.9, 999.9,   86.0 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800217,   76.5, 7,   49.0, 7, 9999.9, 0, 9999.9, 0,  22.2, 7,   3.2, 7,   6.0, 999.9,   87.8*,  59.0 , 0.00G,999.9, 000000,
637080,99999, 19800218,   77.4, 4,   51.8, 4, 9999.9, 0, 9999.9, 0,  25.6, 4,   4.8, 4,   9.9, 999.9,   87.8*,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800219,   75.7, 7,   55.4, 6, 9999.9, 0, 9999.9, 0,  23.5, 7,   4.9, 7,   8.0, 999.9,   91.4 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800220,   79.2, 5,   57.6, 5, 9999.9, 0, 9999.9, 0,  24.9, 5,   4.4, 5,   9.9, 999.9,   91.4 ,  68.0*, 0.00C,999.9, 000000,
637080,99999, 19800221,   78.5, 6,   59.6, 6, 9999.9, 0, 9999.9, 0,  24.9, 6,   3.0, 6,   8.0, 999.9,   95.0*,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800222,   78.4, 5,   53.6, 5, 9999.9, 0, 9999.9, 0,  21.1, 5,   8.2, 5,  13.0, 999.9,   96.8 ,  66.2 , 0.00G,999.9, 000000,
637080,99999, 19800223,   81.8, 6,   55.0, 5, 9999.9, 0, 9999.9, 0,  19.7, 6,   6.2, 6,  12.0, 999.9,   91.4 ,  71.6*, 0.00C,999.9, 000000,
637080,99999, 19800224,   71.2, 5,   60.4, 5, 9999.9, 0, 9999.9, 0,  21.1, 5,   2.2, 5,   8.0, 999.9,   75.2*,  60.8 , 0.00G,999.9, 000000,
637080,99999, 19800225,   75.6, 5,   53.2, 5, 9999.9, 0, 9999.9, 0,  24.9, 5,   3.6, 5,   5.1, 999.9,   91.4 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800226,   80.8, 8,   60.4, 8, 9999.9, 0, 9999.9, 0,  23.7, 8,   9.0, 8,  18.1, 999.9,   93.2 ,  69.8 , 0.00G,999.9, 000000,
637080,99999, 19800227,   76.1, 4,   60.4, 4, 9999.9, 0, 9999.9, 0,  27.2, 4,   5.8, 4,  17.1, 999.9,   86.0*,  66.2 , 0.00G,999.9, 000000,
637080,99999, 19800228,   77.9, 6,   62.3, 6, 9999.9, 0, 9999.9, 0,  23.3, 6,   5.5, 6,  15.9, 999.9,   86.0 ,  66.2 , 0.00G,999.9, 000000,
637080,99999, 19800229,   75.7, 7,   60.0, 7, 9999.9, 0, 9999.9, 0,  20.9, 7,   4.4, 7,  13.0, 999.9,   87.8 ,  66.2 , 0.00G,999.9, 000000,
637080,99999, 19800301,   72.7, 5,   59.4, 5, 9999.9, 0, 9999.9, 0,  21.1, 5,   3.4, 5,   8.9, 999.9,   86.0*,  64.4 , 0.00G,999.9, 000000,
637080,99999, 19800302,   72.6, 7,   62.9, 7, 9999.9, 0, 9999.9, 0,  20.4, 7,   4.5, 6,   9.9, 999.9,   80.6 ,  60.8 , 1.54G,999.9, 000000,
637080,99999, 19800303,   71.1, 7,   63.9, 7, 9999.9, 0, 9999.9, 0,  19.5, 7,   5.9, 7,  15.0, 999.9,   84.2 ,  64.4 , 0.00G,999.9, 010010,
637080,99999, 19800304,   71.4, 8,   63.7, 8, 9999.9, 0, 9999.9, 0,  20.6, 8,   5.0, 8,  13.0, 999.9,   80.6 ,  62.6 , 0.98G,999.9, 000010,
637080,99999, 19800305,   69.8, 4,   63.5, 4, 9999.9, 0, 9999.9, 0,  22.5, 4,   4.5, 4,   5.1, 999.9,   84.2 ,  62.6 , 0.00G,999.9, 010000,
637080,99999, 19800306,   70.5, 5,   62.6, 5, 9999.9, 0, 9999.9, 0,  23.6, 5,   5.2, 5,   9.9, 999.9,   77.0*,  62.6 , 0.01G,999.9, 000010,
637080,99999, 19800307,   71.2, 5,   60.1, 5, 9999.9, 0, 9999.9, 0,  19.9, 5,   6.8, 5,   9.9, 999.9,   84.2 ,  66.2*, 0.00G,999.9, 010000,
637080,99999, 19800308,   69.6, 8,   64.6, 8, 9999.9, 0, 9999.9, 0,  18.3, 8,   4.6, 8,   8.0, 999.9,   82.4 ,  62.6*, 0.12G,999.9, 000010,
637080,99999, 19800309,   72.0, 5,   60.8, 5, 9999.9, 0, 9999.9, 0,  23.0, 5,   3.8, 4,   6.0, 999.9,   86.0 ,  62.6 , 1.26G,999.9, 000000,
637080,99999, 19800310,   73.1, 6,   60.5, 6, 9999.9, 0, 9999.9, 0,  19.2, 6,   5.5, 6,  20.0, 999.9,   86.0 ,  60.8 , 0.00G,999.9, 000000,
637080,99999, 19800311,   76.5, 7,   63.1, 7, 9999.9, 0, 9999.9, 0,  24.4, 7,   7.1, 7,  15.9, 999.9,  100.4*,  60.8 , 0.00G,999.9, 000000,
637080,99999, 19800312,   71.0, 6,   63.2, 6, 9999.9, 0, 9999.9, 0,  22.3, 6,  20.2, 6, 999.9, 999.9,   78.8*,  62.6 , 1.30G,999.9, 000010,
637080,99999, 19800313,   73.7, 6,   64.1, 6, 9999.9, 0, 9999.9, 0,  20.2, 6,   8.1, 6,  13.0, 999.9,   84.2*,  64.4 , 0.00G,999.9, 010010,
637080,99999, 19800314,   73.4, 7,   64.9, 7, 9999.9, 0, 9999.9, 0,  21.7, 7,   6.6, 7,  11.1, 999.9,   82.4 ,  66.2*, 0.31C,999.9, 000000,
637080,99999, 19800315,   74.9, 6,   62.3, 6, 9999.9, 0, 9999.9, 0,  21.7, 6,   3.0, 6,   6.0, 999.9,   87.8 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800316,   71.2, 5,   62.2, 5, 9999.9, 0, 9999.9, 0,  18.6, 5,   4.8, 5,   8.9, 999.9,   91.4 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800317,   80.1, 7,   53.3, 7, 9999.9, 0, 9999.9, 0,  25.7, 7,   4.0, 7,   8.0, 999.9,   91.4 ,  60.8 , 0.00G,999.9, 000000,
637080,99999, 19800318,   73.9, 7,   45.4, 7, 9999.9, 0, 9999.9, 0,  22.6, 7,   5.2, 7,  12.0, 999.9,   93.2 ,  60.8*, 0.00B,999.9, 000000,
637080,99999, 19800319,   73.1, 6,   49.4, 6, 9999.9, 0, 9999.9, 0,  24.9, 6,   4.2, 6,   7.0, 999.9,   91.4 ,  62.6*, 0.00G,999.9, 000000,
637080,99999, 19800320,   70.2, 4,   51.3, 4, 9999.9, 0, 9999.9, 0,  24.9, 4,   3.5, 4,   8.0, 999.9,   91.4 ,  57.2 , 0.00G,999.9, 000000,
637080,99999, 19800321,   77.0, 8,   53.1, 8, 9999.9, 0, 9999.9, 0,  24.1, 8,   5.7, 6,  13.0, 999.9,   91.4 ,  62.6 , 0.00G,999.9, 000000,
